noise,deg_p_mean,deg_p_std,bet_p_mean,bet_p_std,ari_mean,ari_std,nmi_mean,nmi_std
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.05,1.0,0.0,1.0,0.0,0.995986400943608,0.008027198112784005,0.9940382310911687,0.011923537817662576
0.1,1.0,0.0,1.0,0.0,0.9880397342769414,0.015913657226317802,0.9821396915377122,0.023803340979142242
0.15,0.9333333333333332,0.13333333333333336,0.9333333333333332,0.13333333333333336,0.9880008523571233,0.01598156043405464,0.9821256183742546,0.023827959057054572
0.2,0.9333333333333332,0.13333333333333336,1.0,0.0,0.9760427916275086,0.014884865749270174,0.9659215135524454,0.020692089796688438
0.25,0.8666666666666666,0.16329931618554522,0.8666666666666666,0.16329931618554522,0.9680586322386254,0.020357854467941534,0.954007344026433,0.029903408622221638
0.3,1.0,0.0,1.0,0.0,0.9218111057765392,0.0434144213249842,0.9059207492379105,0.04450124607085525
0.35,0.6666666666666666,0.21081851067789195,0.7333333333333333,0.24944382578492946,0.915630989048727,0.090726529809672,0.9032059865718427,0.07910394415615489
0.4,0.7999999999999999,0.16329931618554522,0.7999999999999999,0.16329931618554522,0.8501344488778996,0.025493091576107487,0.8183001273927542,0.01630047503192835
0.45,0.6666666666666666,0.29814239699997197,0.6666666666666666,0.21081851067789195,0.8287625122847693,0.047299927917732305,0.7997014495024606,0.05974335762558133
0.5,0.4666666666666666,0.1632993161855452,0.5333333333333333,0.1632993161855452,0.5561580525354071,0.14403464530741228,0.5508728564460592,0.12630893945924962
