state,method,success,vmax,km,vmax_se,km_se,vmax_ci_low,vmax_ci_high,km_ci_low,km_ci_high,rss,r2,failure_reason
treated,nonlinear,True,212.6838590439175,0.06412146221067373,6.947161786897789,0.00828096999243041,197.20461795564435,228.16310013219064,0.045670311238583734,0.08257261318276374,1195.4488144906995,0.961260830138538,
treated,lineweaver_burk_diagnostic,True,195.80270884774998,0.048406533867254076,nan,nan,nan,nan,nan,nan,nan,0.9377605291671612,
untreated,nonlinear,True,160.28012390843566,0.04770830462148919,6.480251155379097,0.007781892280597628,145.62077734020127,174.93947047667004,0.03010444125837625,0.06531216798460214,859.6042937988082,0.9355724344404153,
untreated,lineweaver_burk_diagnostic,True,143.42811572694015,0.0308372149608123,nan,nan,nan,nan,nan,nan,nan,0.8845959510729218,
