noise_level,noise_percent,replicate,seed,method,success,failure_reason,fitted_vmax,fitted_km,vmax_absolute_error,km_absolute_error,vmax_relative_error,km_relative_error,r2
0.0,0.0,0,2048,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,0,2048,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,1,2049,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,1,2049,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,2,2050,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,2,2050,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,3,2051,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,3,2051,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,4,2052,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,4,2052,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,5,2053,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,5,2053,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,6,2054,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,6,2054,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,7,2055,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,7,2055,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,8,2056,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,8,2056,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,9,2057,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,9,2057,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,10,2058,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
0.0,0.0,10,2058,lineweaver_burk,True,,99.99999999999987,4.999999999999999,1.2789769243681803e-13,8.881784197001252e-16,1.2789769243681803e-15,1.7763568394002506e-16,1.0
0.0,0.0,11,2059,nonlinear,True,,99.99999999999933,4.999999999999844,6.679101716144942e-13,1.5631940186722204e-13,6.679101716144941e-15,3.126388037344441e-14,1.0
